USAF,WBAN_x,YEAR,MONTH,TEMP,DEWP,WDSP,MAX,MIN,DAY,WBAN_y,CTRY,LAT,LON,ELEV(M),LBL
010110,99999.0,2019.0,2.0,6.85,2.05,16.35,15.5,-0.05,14.5,99999,SV,80.067,31.5,10.0,"KVITOYA, SV<br>Elevation: 10.0 m"
010110,99999.0,2019.0,3.0,-6.6,-10.8,17.6,-3.8,-12.8,16.0,99999,SV,80.067,31.5,10.0,"KVITOYA, SV<br>Elevation: 10.0 m"
010110,99999.0,2019.0,4.0,9.05,5.85,13.15,14.25,5.45,8.5,99999,SV,80.067,31.5,10.0,"KVITOYA, SV<br>Elevation: 10.0 m"
010150,99999.0,2019.0,1.0,26.8,21.2,15.8,29.3,24.4,16.0,99999,NO,69.6,17.833,14.0,"HEKKINGEN FYR, NO<br>Elevation: 14.0 m"
010150,99999.0,2019.0,2.0,28.1,22.15,15.35,31.9,25.1,14.5,99999,NO,69.6,17.833,14.0,"HEKKINGEN FYR, NO<br>Elevation: 14.0 m"
010150,99999.0,2019.0,3.0,29.3,21.7,13.9,32.0,26.4,16.0,99999,NO,69.6,17.833,14.0,"HEKKINGEN FYR, NO<br>Elevation: 14.0 m"
010150,99999.0,2019.0,4.0,34.1,27.25,11.3,39.5,30.65,8.5,99999,NO,69.6,17.833,14.0,"HEKKINGEN FYR, NO<br>Elevation: 14.0 m"
010160,99999.0,2019.0,1.0,10.9,6.1,15.9,14.4,8.4,16.0,99999,NO,78.933,28.9,20.0,"KONGSOYA, NO<br>Elevation: 20.0 m"
010160,99999.0,2019.0,2.0,5.2,0.7,12.4,16.25,-2.1,14.5,99999,NO,78.933,28.9,20.0,"KONGSOYA, NO<br>Elevation: 20.0 m"
010160,99999.0,2019.0,3.0,-4.6,-8.5,18.8,0.3,-8.7,16.0,99999,NO,78.933,28.9,20.0,"KONGSOYA, NO<br>Elevation: 20.0 m"
010160,99999.0,2019.0,4.0,13.0,9.55,9.4,17.0,2.95,8.5,99999,NO,78.933,28.9,20.0,"KONGSOYA, NO<br>Elevation: 20.0 m"
010170,99999.0,2019.0,1.0,15.5,10.3,16.2,19.9,12.9,16.0,99999,SV,77.683,14.783,6.0,"AKSELOYA, SV<br>Elevation: 6.0 m"
010170,99999.0,2019.0,2.0,14.95,9.25,16.4,17.25,8.75,14.5,99999,SV,77.683,14.783,6.0,"AKSELOYA, SV<br>Elevation: 6.0 m"
010170,99999.0,2019.0,3.0,3.1,-2.8,13.9,10.0,-3.1,16.0,99999,SV,77.683,14.783,6.0,"AKSELOYA, SV<br>Elevation: 6.0 m"
010170,99999.0,2019.0,4.0,22.9,18.4,10.65,31.55,18.05,8.5,99999,SV,77.683,14.783,6.0,"AKSELOYA, SV<br>Elevation: 6.0 m"
010230,99999.0,2019.0,1.0,11.2,8.0,1.7,17.8,6.1,16.0,99999,NO,69.056,18.54,76.8,"BARDUFOSS, NO<br>Elevation: 76.8 m"
010230,99999.0,2019.0,2.0,18.1,13.649999999999999,4.15,27.05,0.20000000000000007,14.5,99999,NO,69.056,18.54,76.8,"BARDUFOSS, NO<br>Elevation: 76.8 m"
010230,99999.0,2019.0,3.0,22.6,16.2,3.6,32.0,12.2,16.0,99999,NO,69.056,18.54,76.8,"BARDUFOSS, NO<br>Elevation: 76.8 m"
010230,99999.0,2019.0,4.0,31.549999999999997,22.799999999999997,4.5,41.25,20.2,8.5,99999,NO,69.056,18.54,76.8,"BARDUFOSS, NO<br>Elevation: 76.8 m"
010240,99999.0,2019.0,1.0,13.4,-0.9,7.8,16.9,5.9,16.0,99999,NO,78.65,16.367,20.0,"PYRAMIDEN, NO<br>Elevation: 20.0 m"
010240,99999.0,2019.0,2.0,10.35,-1.0,4.65,16.5,1.6,14.5,99999,NO,78.65,16.367,20.0,"PYRAMIDEN, NO<br>Elevation: 20.0 m"
010240,99999.0,2019.0,3.0,1.8,-7.8,5.3,8.4,-2.0,16.0,99999,NO,78.65,16.367,20.0,"PYRAMIDEN, NO<br>Elevation: 20.0 m"
010240,99999.0,2019.0,4.0,18.9,11.9,7.25,23.35,12.05,8.5,99999,NO,78.65,16.367,20.0,"PYRAMIDEN, NO<br>Elevation: 20.0 m"
010250,99999.0,2019.0,1.0,23.3,20.2,8.4,27.1,20.3,16.0,99999,NO,69.683,18.919,9.4,"TROMSO, NO<br>Elevation: 9.4 m"
010250,99999.0,2019.0,2.0,25.35,20.3,11.55,28.85,19.4,14.5,99999,NO,69.683,18.919,9.4,"TROMSO, NO<br>Elevation: 9.4 m"
010250,99999.0,2019.0,3.0,26.7,20.4,10.4,30.9,21.2,16.0,99999,NO,69.683,18.919,9.4,"TROMSO, NO<br>Elevation: 9.4 m"
010250,99999.0,2019.0,4.0,31.7,26.35,8.4,36.15,25.0,8.5,99999,NO,69.683,18.919,9.4,"TROMSO, NO<br>Elevation: 9.4 m"
010260,99999.0,2019.0,1.0,22.7,20.5,6.4,26.1,19.2,16.0,99999,NO,69.65,18.933,114.5,"TROMSO, NO<br>Elevation: 114.5 m"
010260,99999.0,2019.0,2.0,24.75,21.5,7.6,29.6,20.3,14.5,99999,NO,69.65,18.933,114.5,"TROMSO, NO<br>Elevation: 114.5 m"
010260,99999.0,2019.0,3.0,26.9,20.9,8.0,32.7,21.9,16.0,99999,NO,69.65,18.933,114.5,"TROMSO, NO<br>Elevation: 114.5 m"
010260,99999.0,2019.0,4.0,31.5,26.4,6.8,37.400000000000006,26.6,8.5,99999,NO,69.65,18.933,114.5,"TROMSO, NO<br>Elevation: 114.5 m"
010280,99999.0,2019.0,1.0,25.2,21.5,15.7,27.1,22.8,16.0,99999,NO,74.517,19.017,18.0,"BJORNOYA ISLAND, NO<br>Elevation: 18.0 m"
010280,99999.0,2019.0,2.0,27.1,22.05,16.05,28.5,24.1,14.5,99999,NO,74.517,19.017,18.0,"BJORNOYA ISLAND, NO<br>Elevation: 18.0 m"
010280,99999.0,2019.0,3.0,20.7,17.3,13.3,25.9,11.1,16.0,99999,NO,74.517,19.017,18.0,"BJORNOYA ISLAND, NO<br>Elevation: 18.0 m"
010280,99999.0,2019.0,4.0,27.45,24.5,15.95,32.6,24.1,8.5,99999,NO,74.517,19.017,18.0,"BJORNOYA ISLAND, NO<br>Elevation: 18.0 m"
010300,99999.0,2019.0,1.0,14.1,9999.9,15.0,15.1,11.7,16.0,99999,NO,69.283,18.133,982.0,"KISTEFJELL, NO<br>Elevation: 982.0 m"
010300,99999.0,2019.0,2.0,15.8,9999.9,17.9,20.75,12.899999999999999,14.5,99999,NO,69.283,18.133,982.0,"KISTEFJELL, NO<br>Elevation: 982.0 m"
010300,99999.0,2019.0,3.0,16.0,9999.9,14.5,21.2,11.7,16.0,99999,NO,69.283,18.133,982.0,"KISTEFJELL, NO<br>Elevation: 982.0 m"
010300,99999.0,2019.0,4.0,22.05,9999.9,15.35,27.5,17.85,8.5,99999,NO,69.283,18.133,982.0,"KISTEFJELL, NO<br>Elevation: 982.0 m"
010330,99999.0,2019.0,1.0,28.3,21.0,13.9,30.9,25.9,16.0,99999,NO,70.25,19.5,24.0,"TORSVAG FYR, NO<br>Elevation: 24.0 m"
010330,99999.0,2019.0,2.0,30.0,21.3,14.100000000000001,32.900000000000006,27.4,14.5,99999,NO,70.25,19.5,24.0,"TORSVAG FYR, NO<br>Elevation: 24.0 m"
010330,99999.0,2019.0,3.0,29.8,22.4,15.0,32.2,27.3,16.0,99999,NO,70.25,19.5,24.0,"TORSVAG FYR, NO<br>Elevation: 24.0 m"
010330,99999.0,2019.0,4.0,33.5,27.0,10.95,36.25,30.799999999999997,8.5,99999,NO,70.25,19.5,24.0,"TORSVAG FYR, NO<br>Elevation: 24.0 m"
010350,99999.0,2019.0,1.0,26.85,9999.9,999.9,30.75,12.5,8.0,99999,NO,69.567,20.1,710.0,"LYNGEN GJERDVASSBU, NO<br>Elevation: 710.0 m"
010350,99999.0,2019.0,2.0,30.85,9999.9,999.9,34.7,21.3,22.5,99999,NO,69.567,20.1,710.0,"LYNGEN GJERDVASSBU, NO<br>Elevation: 710.0 m"
010350,99999.0,2019.0,3.0,18.5,9999.9,999.9,21.9,12.2,13.0,99999,NO,69.567,20.1,710.0,"LYNGEN GJERDVASSBU, NO<br>Elevation: 710.0 m"
010350,99999.0,2019.0,4.0,31.950000000000003,9999.9,999.9,35.5,26.950000000000003,12.5,99999,NO,69.567,20.1,710.0,"LYNGEN GJERDVASSBU, NO<br>Elevation: 710.0 m"
010370,99999.0,2019.0,1.0,16.5,13.9,3.1,20.8,8.2,16.0,99999,NO,69.383,20.283,20.0,"SKIBOTN 2, NO<br>Elevation: 20.0 m"
010370,99999.0,2019.0,2.0,21.9,16.549999999999997,3.2,27.95,12.35,14.5,99999,NO,69.383,20.283,20.0,"SKIBOTN 2, NO<br>Elevation: 20.0 m"
010370,99999.0,2019.0,3.0,25.5,17.0,3.5,33.4,15.6,16.0,99999,NO,69.383,20.283,20.0,"SKIBOTN 2, NO<br>Elevation: 20.0 m"
010370,99999.0,2019.0,4.0,34.8,22.55,3.9499999999999997,41.8,26.4,8.5,99999,NO,69.383,20.283,20.0,"SKIBOTN 2, NO<br>Elevation: 20.0 m"
010430,99999.0,2019.0,1.0,27.049999999999997,9999.9,16.450000000000003,29.1,25.0,14.5,99999,NO,70.417,22.817,10.0,"ROGNSUNDET, NO<br>Elevation: 10.0 m"
010430,99999.0,2019.0,2.0,24.7,9999.9,15.9,27.0,21.2,12.0,99999,NO,70.417,22.817,10.0,"ROGNSUNDET, NO<br>Elevation: 10.0 m"
010430,99999.0,2019.0,3.0,30.7,9999.9,13.7,32.7,26.1,18.0,99999,NO,70.417,22.817,10.0,"ROGNSUNDET, NO<br>Elevation: 10.0 m"
010430,99999.0,2019.0,4.0,33.5,9999.9,13.1,36.05,29.7,8.5,99999,NO,70.417,22.817,10.0,"ROGNSUNDET, NO<br>Elevation: 10.0 m"
010440,99999.0,2019.0,1.0,26.8,19.3,11.6,30.4,22.3,16.0,99999,NO,70.487,22.14,6.4,"HASVIK, NO<br>Elevation: 6.4 m"
010440,99999.0,2019.0,2.0,26.9,21.799999999999997,10.95,31.55,22.65,14.5,99999,NO,70.487,22.14,6.4,"HASVIK, NO<br>Elevation: 6.4 m"
010440,99999.0,2019.0,3.0,28.7,23.2,10.4,32.0,24.6,16.0,99999,NO,70.487,22.14,6.4,"HASVIK, NO<br>Elevation: 6.4 m"
010440,99999.0,2019.0,4.0,32.45,27.9,8.649999999999999,37.65,28.5,8.5,99999,NO,70.487,22.14,6.4,"HASVIK, NO<br>Elevation: 6.4 m"
010450,99999.0,2019.0,1.0,24.1,17.9,9.9,26.8,19.0,16.0,99999,NO,69.833,21.883,6.0,"NORDSTRAUM I KVAENANGEN, NO<br>Elevation: 6.0 m"
010450,99999.0,2019.0,2.0,25.200000000000003,18.7,11.1,29.049999999999997,19.65,14.5,99999,NO,69.833,21.883,6.0,"NORDSTRAUM I KVAENANGEN, NO<br>Elevation: 6.0 m"
010450,99999.0,2019.0,3.0,28.0,17.5,10.9,32.5,23.0,16.0,99999,NO,69.833,21.883,6.0,"NORDSTRAUM I KVAENANGEN, NO<br>Elevation: 6.0 m"
010450,99999.0,2019.0,4.0,32.55,25.7,7.5,39.45,27.6,8.5,99999,NO,69.833,21.883,6.0,"NORDSTRAUM I KVAENANGEN, NO<br>Elevation: 6.0 m"
010460,99999.0,2019.0,1.0,20.9,14.6,8.0,25.7,11.7,16.0,99999,NO,69.787,20.959,4.9,"SORKJOSEN, NO<br>Elevation: 4.9 m"
010460,99999.0,2019.0,2.0,21.4,16.4,9.05,26.25,15.45,14.5,99999,NO,69.787,20.959,4.9,"SORKJOSEN, NO<br>Elevation: 4.9 m"
010460,99999.0,2019.0,3.0,25.5,16.3,8.4,32.4,18.0,16.0,99999,NO,69.787,20.959,4.9,"SORKJOSEN, NO<br>Elevation: 4.9 m"
010460,99999.0,2019.0,4.0,31.85,24.75,6.1,40.9,24.6,8.5,99999,NO,69.787,20.959,4.9,"SORKJOSEN, NO<br>Elevation: 4.9 m"
010470,99999.0,2019.0,1.0,0.6,-2.8,5.1,11.1,-11.7,16.0,99999,NO,69.017,23.067,307.0,"KAUTOKEINO II, NO<br>Elevation: 307.0 m"
010470,99999.0,2019.0,2.0,8.75,5.85,7.4,16.05,-1.05,14.5,99999,NO,69.017,23.067,307.0,"KAUTOKEINO II, NO<br>Elevation: 307.0 m"
010470,99999.0,2019.0,3.0,17.7,11.4,8.9,24.8,5.2,16.0,99999,NO,69.017,23.067,307.0,"KAUTOKEINO II, NO<br>Elevation: 307.0 m"
010470,99999.0,2019.0,4.0,27.5,18.799999999999997,7.0,34.650000000000006,18.4,8.5,99999,NO,69.017,23.067,307.0,"KAUTOKEINO II, NO<br>Elevation: 307.0 m"
010490,99999.0,2019.0,1.0,15.0,11.4,5.6,21.4,8.6,16.0,99999,NO,69.976,23.372,2.7,"ALTA, NO<br>Elevation: 2.7 m"
010490,99999.0,2019.0,2.0,19.15,12.1,6.199999999999999,22.1,14.0,14.5,99999,NO,69.976,23.372,2.7,"ALTA, NO<br>Elevation: 2.7 m"
010490,99999.0,2019.0,3.0,24.1,16.4,7.5,31.8,16.0,16.0,99999,NO,69.976,23.372,2.7,"ALTA, NO<br>Elevation: 2.7 m"
010490,99999.0,2019.0,4.0,31.85,24.25,5.5,38.650000000000006,26.6,8.5,99999,NO,69.976,23.372,2.7,"ALTA, NO<br>Elevation: 2.7 m"
010520,99999.0,2019.0,1.0,23.3,17.3,7.7,27.0,19.0,16.0,99999,NO,70.683,23.683,81.0,"HAMMERFEST AP, NO<br>Elevation: 81.0 m"
010520,99999.0,2019.0,2.0,24.4,17.95,9.55,28.65,17.4,14.5,99999,NO,70.683,23.683,81.0,"HAMMERFEST AP, NO<br>Elevation: 81.0 m"
010520,99999.0,2019.0,3.0,26.8,21.7,8.8,31.3,21.2,16.0,99999,NO,70.683,23.683,81.0,"HAMMERFEST AP, NO<br>Elevation: 81.0 m"
010520,99999.0,2019.0,4.0,30.85,25.6,9.55,36.05,24.3,8.5,99999,NO,70.683,23.683,81.0,"HAMMERFEST AP, NO<br>Elevation: 81.0 m"
010550,99999.0,2019.0,1.0,28.7,9999.9,15.5,31.8,26.2,16.0,99999,NO,71.1,23.983,14.2,"FRUHOLMEN FYR, NO<br>Elevation: 14.2 m"
010550,99999.0,2019.0,2.0,28.95,9999.9,19.0,32.25,24.15,14.5,99999,NO,71.1,23.983,14.2,"FRUHOLMEN FYR, NO<br>Elevation: 14.2 m"
010550,99999.0,2019.0,3.0,30.3,28.4,16.2,32.5,27.3,16.0,99999,NO,71.1,23.983,14.2,"FRUHOLMEN FYR, NO<br>Elevation: 14.2 m"
010550,99999.0,2019.0,4.0,34.25,25.65,16.15,36.4,30.45,8.5,99999,NO,71.1,23.983,14.2,"FRUHOLMEN FYR, NO<br>Elevation: 14.2 m"
010570,,,,,,,,,,99999,NO,69.367,24.433,286.0,"CUOVDDATMOHKKI, NO<br>Elevation: 286.0 m"
010590,99999.0,2019.0,1.0,14.6,10.4,9.8,18.1,8.2,16.0,99999,NO,70.069,24.973,7.6,"BANAK, NO<br>Elevation: 7.6 m"
010590,99999.0,2019.0,2.0,14.8,9.899999999999999,10.05,21.1,8.35,14.5,99999,NO,70.069,24.973,7.6,"BANAK, NO<br>Elevation: 7.6 m"
010590,99999.0,2019.0,3.0,24.8,16.7,11.3,31.3,17.6,16.0,99999,NO,70.069,24.973,7.6,"BANAK, NO<br>Elevation: 7.6 m"
010590,99999.0,2019.0,4.0,32.3,23.5,8.9,39.45,26.5,8.5,99999,NO,70.069,24.973,7.6,"BANAK, NO<br>Elevation: 7.6 m"
010620,99999.0,2019.0,1.0,21.9,17.3,13.6,25.7,17.6,16.0,99999,NO,76.5,25.067,10.0,"HOPEN ISLAND, NO<br>Elevation: 10.0 m"
010620,99999.0,2019.0,2.0,22.0,17.45,10.100000000000001,26.700000000000003,18.700000000000003,14.5,99999,NO,76.5,25.067,10.0,"HOPEN ISLAND, NO<br>Elevation: 10.0 m"
010620,99999.0,2019.0,3.0,5.4,1.4,12.1,9.1,0.7,16.0,99999,NO,76.5,25.067,10.0,"HOPEN ISLAND, NO<br>Elevation: 10.0 m"
010620,99999.0,2019.0,4.0,19.65,15.100000000000001,9.4,27.75,12.75,8.5,99999,NO,76.5,25.067,10.0,"HOPEN ISLAND, NO<br>Elevation: 10.0 m"
010650,99999.0,2019.0,1.0,-0.7,-3.6,2.5,14.0,-9.0,16.0,99999,NO,69.467,25.517,133.0,"KARASJOK, NO<br>Elevation: 133.0 m"
010650,99999.0,2019.0,2.0,6.25,3.85,2.95,16.25,-3.85,14.5,99999,NO,69.467,25.517,133.0,"KARASJOK, NO<br>Elevation: 133.0 m"
010650,99999.0,2019.0,3.0,15.6,10.9,4.1,27.5,-4.7,16.0,99999,NO,69.467,25.517,133.0,"KARASJOK, NO<br>Elevation: 133.0 m"
010650,99999.0,2019.0,4.0,29.450000000000003,20.4,4.65,37.1,19.25,8.5,99999,NO,69.467,25.517,133.0,"KARASJOK, NO<br>Elevation: 133.0 m"
010680,99999.0,2019.0,1.0,27.0,20.9,13.0,30.2,23.0,16.0,99999,NO,71.017,25.983,14.0,"HONNINGSVAG/VALAN, NO<br>Elevation: 14.0 m"
010680,99999.0,2019.0,2.0,26.45,19.25,12.850000000000001,31.1,21.85,14.5,99999,NO,71.017,25.983,14.0,"HONNINGSVAG/VALAN, NO<br>Elevation: 14.0 m"
010680,99999.0,2019.0,3.0,28.2,20.1,12.5,32.0,23.2,16.0,99999,NO,71.017,25.983,14.0,"HONNINGSVAG/VALAN, NO<br>Elevation: 14.0 m"
010680,99999.0,2019.0,4.0,32.3,25.0,11.15,36.75,27.200000000000003,8.5,99999,NO,71.017,25.983,14.0,"HONNINGSVAG/VALAN, NO<br>Elevation: 14.0 m"
010740,99999.0,2019.0,1.0,24.5,17.0,11.7,27.5,19.4,16.0,99999,NO,71.033,27.833,13.0,"MEHAMN, NO<br>Elevation: 13.0 m"
010740,99999.0,2019.0,2.0,23.0,16.6,13.0,28.85,16.450000000000003,14.5,99999,NO,71.033,27.833,13.0,"MEHAMN, NO<br>Elevation: 13.0 m"
010740,99999.0,2019.0,3.0,27.6,17.9,13.9,31.3,19.8,16.0,99999,NO,71.033,27.833,13.0,"MEHAMN, NO<br>Elevation: 13.0 m"
010740,99999.0,2019.0,4.0,31.35,25.2,13.95,35.9,25.85,8.5,99999,NO,71.033,27.833,13.0,"MEHAMN, NO<br>Elevation: 13.0 m"
010780,99999.0,2019.0,1.0,26.5,20.9,14.1,30.6,21.7,16.0,99999,NO,71.1,28.233,10.0,"SLETTNES FYR, NO<br>Elevation: 10.0 m"
010780,99999.0,2019.0,2.0,24.5,18.35,15.65,29.0,18.65,14.5,99999,NO,71.1,28.233,10.0,"SLETTNES FYR, NO<br>Elevation: 10.0 m"
010780,99999.0,2019.0,3.0,27.9,19.0,15.7,31.1,21.9,16.0,99999,NO,71.1,28.233,10.0,"SLETTNES FYR, NO<br>Elevation: 10.0 m"
010780,99999.0,2019.0,4.0,31.5,25.05,16.25,34.2,28.25,8.5,99999,NO,71.1,28.233,10.0,"SLETTNES FYR, NO<br>Elevation: 10.0 m"
010820,99999.0,2019.0,1.0,3.8,0.8,999.9,13.5,-6.7,16.0,99999,NO,69.15,29.25,56.0,"NYRUD, NO<br>Elevation: 56.0 m"
010820,99999.0,2019.0,2.0,10.75,7.15,999.9,19.7,-7.9,14.5,99999,NO,69.15,29.25,56.0,"NYRUD, NO<br>Elevation: 56.0 m"
010820,99999.0,2019.0,3.0,20.5,13.2,999.9,29.8,-1.5,16.0,99999,NO,69.15,29.25,56.0,"NYRUD, NO<br>Elevation: 56.0 m"
010820,99999.0,2019.0,4.0,31.400000000000002,22.55,999.9,40.2,21.0,8.5,99999,NO,69.15,29.25,56.0,"NYRUD, NO<br>Elevation: 56.0 m"
010830,99999.0,2019.0,1.0,25.6,18.4,15.0,29.3,19.6,16.0,99999,NO,70.867,29.033,13.0,"BERLEVAG, NO<br>Elevation: 13.0 m"
010830,99999.0,2019.0,2.0,22.85,16.35,14.2,27.6,18.200000000000003,14.5,99999,NO,70.867,29.033,13.0,"BERLEVAG, NO<br>Elevation: 13.0 m"
010830,99999.0,2019.0,3.0,27.4,18.5,16.5,31.5,21.6,16.0,99999,NO,70.867,29.033,13.0,"BERLEVAG, NO<br>Elevation: 13.0 m"
010830,99999.0,2019.0,4.0,31.5,25.35,16.1,36.150000000000006,27.05,8.5,99999,NO,70.867,29.033,13.0,"BERLEVAG, NO<br>Elevation: 13.0 m"
010840,99999.0,2019.0,1.0,4.0,1.1,0.6,12.7,-6.3,16.0,99999,NO,69.45,30.033,27.0,"PASVIK, NO<br>Elevation: 27.0 m"
010840,99999.0,2019.0,2.0,13.05,10.25,1.8,22.0,-6.25,14.5,99999,NO,69.45,30.033,27.0,"PASVIK, NO<br>Elevation: 27.0 m"
